task_id,title,description,required_skills,difficulty_level,deadline_days,expected_duration,difficulty_encoded
T0000,Task 0,This is a detailed description for task 0 requiring specific skills,"['NLP', 'React', 'UI/UX Design']",Mid,0.9009573928459679,-1.210605333544681,-0.03363794626900865
T0001,Task 1,This is a detailed description for task 1 requiring specific skills,"['NLP', 'UI/UX Design', 'Project Management', 'Node.js']",Senior,-1.0543950491789846,-1.5532618106306364,1.2122119155461306
T0002,Task 2,This is a detailed description for task 2 requiring specific skills,"['JavaScript', 'Cloud Computing', 'NLP', 'DevOps', 'Data Analysis']",Mid,0.3258537334268642,0.16002057479914109,-0.03363794626900865
T0003,Task 3,This is a detailed description for task 3 requiring specific skills,"['Deep Learning', 'Node.js', 'Project Management', 'Cloud Computing', 'Python']",Senior,1.4760610522650717,-0.1826359022868144,1.2122119155461306
T0004,Task 4,This is a detailed description for task 4 requiring specific skills,"['Python', 'Cloud Computing', 'JavaScript']",Junior,0.5558951971945056,1.5306464831429631,-1.2794878080841479
T0005,Task 5,This is a detailed description for task 5 requiring specific skills,"['React', 'Cloud Computing']",Mid,0.4408744653106849,1.1879900060570077,-0.03363794626900865
T0006,Task 6,This is a detailed description for task 6 requiring specific skills,"['Deep Learning', 'DevOps', 'Java', 'UI/UX Design']",Junior,-0.8243535854113432,-0.1826359022868144,-1.2794878080841479
T0007,Task 7,This is a detailed description for task 7 requiring specific skills,"['JavaScript', 'DevOps']",Mid,0.0958122696592227,-1.210605333544681,-0.03363794626900865
T0008,Task 8,This is a detailed description for task 8 requiring specific skills,"['DevOps', 'JavaScript', 'Machine Learning', 'React', 'Deep Learning']",Senior,-1.6294987085980883,-1.5532618106306364,1.2122119155461306
T0009,Task 9,This is a detailed description for task 9 requiring specific skills,"['Java', 'Cloud Computing', 'Python', 'NLP', 'UI/UX Design']",Junior,-0.479291389759881,0.8453335289710521,-1.2794878080841479
T0010,Task 10,This is a detailed description for task 10 requiring specific skills,"['UI/UX Design', 'Machine Learning', 'Python', 'Cloud Computing', 'Node.js']",Junior,-0.3642706578760603,-0.8679488564587254,-1.2794878080841479
T0011,Task 11,This is a detailed description for task 11 requiring specific skills,"['Node.js', 'Project Management']",Junior,1.1309988566136093,0.5026770518850966,-1.2794878080841479
T0012,Task 12,This is a detailed description for task 12 requiring specific skills,"['Project Management', 'JavaScript', 'NLP', 'Python']",Mid,-0.3642706578760603,-1.5532618106306364,-0.03363794626900865
T0013,Task 13,This is a detailed description for task 13 requiring specific skills,"['NLP', 'Project Management']",Mid,1.24601958849743,-0.1826359022868144,-0.03363794626900865
T0014,Task 14,This is a detailed description for task 14 requiring specific skills,"['Deep Learning', 'DevOps', 'React', 'Java', 'Python']",Mid,0.7859366609621472,0.16002057479914109,-0.03363794626900865
T0015,Task 15,This is a detailed description for task 15 requiring specific skills,"['Data Analysis', 'DevOps', 'NLP', 'Python', 'React']",Senior,-1.1694157810628054,1.1879900060570077,1.2122119155461306
T0016,Task 16,This is a detailed description for task 16 requiring specific skills,"['Node.js', 'DevOps', 'Cloud Computing']",Mid,-0.019208462224598044,1.1879900060570077,-0.03363794626900865
T0017,Task 17,This is a detailed description for task 17 requiring specific skills,"['Node.js', 'React']",Senior,-0.3642706578760603,0.8453335289710521,1.2122119155461306
T0018,Task 18,This is a detailed description for task 18 requiring specific skills,"['NLP', 'Python', 'Project Management', 'React', 'Deep Learning']",Senior,-0.1342291941084188,0.5026770518850966,1.2122119155461306
T0019,Task 19,This is a detailed description for task 19 requiring specific skills,"['React', 'Python', 'Data Analysis', 'JavaScript']",Senior,-0.24924992599223952,-0.8679488564587254,1.2122119155461306
T0020,Task 20,This is a detailed description for task 20 requiring specific skills,"['Java', 'UI/UX Design', 'SQL', 'Node.js', 'JavaScript']",Junior,-0.7093328535275225,1.1879900060570077,-1.2794878080841479
T0021,Task 21,This is a detailed description for task 21 requiring specific skills,"['Deep Learning', 'Cloud Computing']",Mid,0.4408744653106849,0.8453335289710521,-0.03363794626900865
T0022,Task 22,This is a detailed description for task 22 requiring specific skills,"['JavaScript', 'DevOps', 'NLP', 'Machine Learning', 'React']",Senior,1.361040320381251,1.1879900060570077,1.2122119155461306
T0023,Task 23,This is a detailed description for task 23 requiring specific skills,"['JavaScript', 'DevOps', 'React', 'Machine Learning', 'Data Analysis']",Senior,-0.939374317295164,-1.210605333544681,1.2122119155461306
T0024,Task 24,This is a detailed description for task 24 requiring specific skills,"['React', 'Java', 'Python', 'UI/UX Design', 'Data Analysis']",Junior,-0.24924992599223952,1.5306464831429631,-1.2794878080841479
T0025,Task 25,This is a detailed description for task 25 requiring specific skills,"['DevOps', 'UI/UX Design', 'SQL', 'Data Analysis', 'Java']",Senior,0.5558951971945056,0.8453335289710521,1.2122119155461306
T0026,Task 26,This is a detailed description for task 26 requiring specific skills,"['JavaScript', 'NLP']",Senior,-0.019208462224598044,-0.8679488564587254,1.2122119155461306
T0027,Task 27,This is a detailed description for task 27 requiring specific skills,"['JavaScript', 'Java']",Senior,0.5558951971945056,-0.5252923793727698,1.2122119155461306
T0028,Task 28,This is a detailed description for task 28 requiring specific skills,"['React', 'DevOps']",Senior,1.1309988566136093,-1.210605333544681,1.2122119155461306
T0029,Task 29,This is a detailed description for task 29 requiring specific skills,"['Node.js', 'SQL']",Senior,-0.1342291941084188,0.8453335289710521,1.2122119155461306
T0030,Task 30,This is a detailed description for task 30 requiring specific skills,"['Data Analysis', 'Deep Learning']",Junior,-1.6294987085980883,1.1879900060570077,-1.2794878080841479
T0031,Task 31,This is a detailed description for task 31 requiring specific skills,"['Project Management', 'DevOps', 'Deep Learning', 'React']",Senior,-1.399457244830447,-0.8679488564587254,1.2122119155461306
T0032,Task 32,This is a detailed description for task 32 requiring specific skills,"['Node.js', 'Python']",Mid,0.6709159290783264,0.16002057479914109,-0.03363794626900865
T0033,Task 33,This is a detailed description for task 33 requiring specific skills,"['JavaScript', 'Cloud Computing', 'Python']",Mid,-1.0543950491789846,0.5026770518850966,-0.03363794626900865
